Inf,Name,Age,Club,Transfer Value,Wage,Nat,Position,Personality,Media Handling,Left Foot,Right Foot,Spd,Jmp,Str,Work,Height,afa,ifs,ama,dmd,bpdd,fba,sks,Highest Role Score,Resulting Role,Player_Type,Price_Range
,Thiago Almada,23,Atlanta United,€15M,"€73,000 p/w",ARG,AM (LC),Spirited,Level-headed,Weak,Very Strong,14.0,5,9,13.5,171 cm,14.2,14.3,14.6,12.6,10.9,12.5,8.5,14.6,Attacking Midfielder Attack,squad_players,low
,Miguel Gutiérrez,22,Girona,€35M,"€33,000 p/w",ESP,D/WB (L),Spirited,Evasive,Very Strong,Reasonable,14.5,12,12,13.5,180 cm,13.8,13.8,13.9,13.7,13.0,13.8,8.0,14.4,Advanced Playmaker Attack,squad_players,low
,Grischa Prömel,29,TSG Hoffenheim,€14M - €16.5M,"€38,500 p/w",GER,"DM, M (C)",Resilient,Evasive,Reasonable,Very Strong,12.5,12,13,18.5,180 cm,12.3,13.4,13.3,14.9,12.8,14.0,8.0,15.1,Ball Winning Midfielder Defend,squad_players,low
Wnt,Renato Sanches,26,Paris SG,€12M,"€78,000 p/w",POR,"DM, M (C)",Driven,Media-friendly,Reasonable,Very Strong,13.5,10,14,15.5,176 cm,13.6,14.1,13.9,12.9,12.3,12.8,7.7,14.4,Winger Support,squad_players,low
Loa,Valentín Carboni,19,Inter,€7.8M - €11M,"€26,000 p/w",ARG,AM (C),Resolute,Reserved,Very Strong,Weak,15.0,10,11,12.5,186 cm,14.6,14.3,14.2,12.3,11.7,12.6,7.8,14.7,False Nine Support,squad_players,low
,Alexander Nübel,27,FC Bayern,€4.8M - €6M,"€67,000 p/w",GER,GK,Balanced,Media-friendly,Weak,Very Strong,8.0,17,13,12.0,193 cm,7.9,8.8,9.0,10.3,10.6,9.0,13.9,14.2,Goalkeeper Defend,squad_players,low
,Robin Koch,27,Eintracht Frankfurt,€25M - €28M,"€67,000 p/w",GER,D (C),Fairly Professional,Reserved,Reasonable,Very Strong,13.5,16,15,13.5,192 cm,11.3,11.6,11.6,13.7,14.0,12.8,7.5,14.2,Central Defender Defend,squad_players,low
,Atakan Karazor,27,VfB Stuttgart,€14M - €16.5M,"€54,000 p/w",GER,"DM, M (C)",Resolute,Outspoken,Reasonable,Very Strong,11.5,16,14,15.0,191 cm,11.7,12.0,12.3,14.3,14.2,13.3,7.9,14.5,Central Defender Stopper,squad_players,low
,Gonzalo Montiel,27,Sevilla,€240K - €4.3M,"€20,500 p/w",ARG,D (R),Spirited,"Evasive, Unflappable",Weak,Very Strong,14.5,10,13,16.0,175 cm,11.9,12.5,12.3,14.8,13.1,14.2,7.9,15.1,Ball Winning Midfielder Defend,squad_players,low
Loa,Tiago Estêvão,22,Borussia Dortmund II,€0 - €18K,€325 p/w,GER,GK,Balanced,Level-headed,Very Weak,Very Strong,12.5,13,8,5.5,193 cm,6.8,6.6,6.9,8.7,8.8,7.5,11.1,11.5,Goalkeeper Defend,squad_players,low
